4. FACILITY NAME,8. ST,23. INDUSTRY SECTOR,37. CHEMICAL,42. CLEAN AIR ACT CHEMICAL,46. CARCINOGEN,47. PBT,48. PFAS,65. ON-SITE RELEASE TOTAL,88. OFF-SITE RELEASE TOTAL,104. OFF-SITE TREATED TOTAL,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7)
W L GORE & ASSOCIATES INC,MD,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,1154.76,0.0,0.0,818996.0,1154.76,0.0,384841.0,0.0,0.0,820150.76
HENKEL OF AMERICA INC.,NH,Chemicals,Methyl methacrylate,YES,NO,NO,NO,233.0,21081.0,0.0,21081.0,21314.0,0.0,0.0,0.0,0.0,21314.0
EXXONMOBIL BATON ROUGE CHEMICAL PLANT NORTH,LA,Chemicals,Methyl tert-butyl ether,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDIS CARBON BLACK PLANT,LA,Chemicals,Carbon disulfide,YES,NO,NO,NO,67604.0,0.0,0.0,0.0,67604.0,0.0,0.0,3215731.0,0.0,3283335.0
PREFORMED LINE PRODUCTS,NC,Chemicals,Lead,NO,YES,YES,NO,0.007,9.99,0.0,10.04,9.997,0.0,0.05,0.0,0.0,10.047
OMNIUM,IA,Chemicals,S-Ethyl dipropylthiocarbamate,NO,NO,NO,NO,8.0,4572.0,0.0,4572.0,4580.0,0.0,0.0,0.0,0.0,4580.0
INDULOR AMERICA LP,NC,Chemicals,Acrylamide,YES,YES,NO,NO,5.0,6.16,77.84,84.0,11.16,0.0,0.0,0.0,77.84,89.0
EXFLUOR RESEARCH,TX,Chemicals,Perfluorononanoic acid,NO,NO,NO,YES,0.092,0.0,0.0,0.0,0.092,0.0,0.0,0.203,0.0,0.295
INEOS JOLIET LLC,IL,Chemicals,Methanol,YES,NO,NO,NO,3796.0,0.0,0.0,0.0,3796.0,0.0,0.0,86563.0,0.0,90359.0
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,LA,Chemicals,Freon 113 (CFC-113),NO,NO,NO,NO,89720.085,0.0,490.4,490.4,89720.085,0.0,0.0,952545.2,490.4,1014477.2
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,LA,Chemicals,Mercury compounds,YES,NO,YES,NO,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
KAO SPECIALTIES AMERICAS LLC,NC,Chemicals,"4,4'-Isopropylidenediphenol",YES,NO,NO,NO,42.2,0.0,0.0,289.0,42.2,0.0,0.0,0.0,0.0,331.2
DIAMOND VOGEL INC.,IA,Chemicals,Ethylbenzene,YES,YES,NO,NO,740.0,0.0,0.0,121694.0,740.0,67758.0,0.0,0.0,0.0,190192.0
SIOUXLAND ENERGY COOPERATIVE,IA,Chemicals,Acrolein,YES,YES,NO,NO,144.88,0.0,0.0,0.0,144.88,0.0,0.0,0.0,0.0,144.88
SUN CHEMICAL CORP COLOR  INTERMEDIATES,OH,Chemicals,"1,2,4-Trichlorobenzene",YES,NO,NO,NO,1729.0,0.01,0.014,12629.023,1729.01,0.0,12629.0,0.0,0.014,14358.023
CATEXEL NEASE LLC,OH,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,3582.0,6471.0,0.0,107170.0,10053.0,0.0,0.0,0.0,0.0,110752.0
TCI AMERICA,OR,Chemicals,Toluene,YES,NO,NO,NO,0.0,0.0,1700.0,20800.0,0.0,23523.0,19100.0,0.0,1700.0,44323.0
PROTECH POWDER COATINGS DBA CHEMIONICS CORP,OH,Chemicals,Lead compounds,YES,NO,YES,NO,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
PARKER HANNIFIN CORP O-RING DIV,TN,Chemicals,Zinc compounds,NO,NO,NO,NO,7.7,990.0,0.0,990.0,997.7,0.0,0.0,0.0,0.0,997.7
ONLINE PACKAGING INC,WI,Chemicals,Methanol,YES,NO,NO,NO,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
IODITECH INC,MO,Chemicals,Selenium compounds,YES,NO,NO,NO,0.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0
COVENTRY COATINGS CORP,NY,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,1239.0,0.0,12000.0,12000.0,1239.0,2200.0,0.0,0.0,12000.0,15439.0
SOUTHWEST DISTRIBUTING CO.,AZ,Chemicals,Ethylene glycol,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILBUR ELLIS CO LLC RIO LINDA HUB,CA,Chemicals,Chlorsulfuron,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF CORP,PA,Chemicals,Ethyl acrylate,YES,YES,NO,NO,153.0,0.0,0.0,18.0,153.0,0.0,0.0,5434.0,0.0,5605.0
MADISON CHEMICAL CO INC,IN,Chemicals,Nitric acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURORIUM LLC - ZEELAND,MI,Chemicals,Pyridine,NO,YES,NO,NO,452.0,0.0,6.0,33585.0,452.0,131949.0,0.0,0.0,6.0,165986.0
COSACO LLC,TX,Chemicals,Copper  And Copper Compounds,NO,NO,NO,NO,1813.0,0.0,0.0,0.0,1813.0,0.0,0.0,0.0,0.0,1813.0
INEOS NITRILES USA LLC           GREEN LAKE PLANT,TX,Chemicals,Molybdenum trioxide,NO,YES,NO,NO,60796.0,4711.33,0.0,4711.33,65507.33,0.0,0.0,0.0,0.0,65507.33
AKRON PAINT & VARNISH INC.,OH,Chemicals,Toluene,YES,NO,NO,NO,4395.0,0.0,16637.0,217503.0,4395.0,0.0,144552.0,0.0,16637.0,221898.0
MCGEAN-ROHCO INC,MI,Chemicals,Formic acid,NO,NO,NO,NO,10.0,4700.09,0.0,4700.09,4710.09,0.0,0.0,0.0,0.0,4710.09
MYCONE DENTAL SUPPLY CO. INC. CHERRY HILL NJ,NJ,Chemicals,Benzoyl peroxide,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORMULATED SOLUTIONS LLC,FL,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,11417.9,0.0,11417.9,11417.9,0.0,0.0,0.0,0.0,11417.9
APEX INTERNATIONAL MFG,MN,Chemicals,Zinc compounds,NO,NO,NO,NO,298.0,28337.0,0.0,28337.0,28635.0,0.0,0.0,0.0,0.0,28635.0
EVONIK  CORP,WI,Chemicals,Chloromethane,YES,NO,NO,NO,2771.0,0.018,1468.812,1472.63,2771.018,11497.0,0.0,0.0,1468.812,15740.63
INEOS COMPOSITES US LLC,CA,Chemicals,Dicyclopentadiene,NO,NO,NO,NO,99.0,0.0,0.0,10874.0,99.0,16.0,0.0,0.0,0.0,10989.0
NORIT AMERICAS INC,TX,Chemicals,Lead,NO,YES,YES,NO,151.532,0.0,0.0,0.0,151.532,0.0,0.0,0.0,0.0,151.532
TICONA POLYMERS INC,TX,Chemicals,Ethylene glycol,YES,NO,NO,NO,108.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,108.0
TRECORA WAX LLC,TX,Chemicals,Propylene oxide,YES,YES,NO,NO,153.22,0.0,0.0,0.0,153.22,0.0,0.0,4.38,0.0,157.6
SHERWIN-WILLIAMS CO,OH,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,NO,NO,8.0,1.0,278.0,8544.0,9.0,0.0,0.0,124.0,278.0,8676.0
AIR PRODUCTS MANUFACTURING LLC,CA,Chemicals,Cyclohexane,NO,NO,NO,NO,430.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,430.0
AMBIT CHEMICAL TECHNOLOGIES,MS,Chemicals,Ethylbenzene,YES,YES,NO,NO,81.31,0.0,0.0,0.0,81.31,0.0,0.0,0.0,0.0,81.31
DOW CHEMICAL CO FREEPORT FACILITY,TX,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,0.0,0.0,16.0,1030.0,0.0,0.0,0.0,0.0,16.0,1030.0
BAYPORT POLYMERS LLC,TX,Chemicals,Naphthalene,YES,YES,NO,NO,0.0,0.0,25589.0,25589.0,0.0,0.0,0.0,0.0,25589.0,25589.0
ANCHOR PAINT MANUFACTURING CO INC,OK,Chemicals,Toluene,YES,NO,NO,NO,294.911,0.0,0.0,0.0,294.911,432.0,0.0,0.0,0.0,726.911
PCS PHOSPHATE CO INC,NC,Chemicals,Zinc compounds,NO,NO,NO,NO,741560.834,0.0,0.0,0.0,741560.834,0.0,0.0,0.0,0.0,741555.27
BLUE RIDGE SOLVENTS & COATINGS,VA,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,93.0,0.0,89125.0,93311.0,93.0,201475.0,0.0,0.0,89125.0,294879.0
PROTECH POWDER COATINGS DBA CHEMIONICS CORP,OH,Chemicals,Antimony compounds,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLENIS LLC,GA,Chemicals,Ammonia,NO,NO,NO,NO,631.0,194.0,7193.0,7387.0,825.0,0.0,0.0,0.0,7193.0,8018.0
OCCIDENTAL CHEMICAL CORP,TX,Chemicals,Dioxin and dioxin-like compounds,YES,YES,YES,NO,23.542,126.064,0.0,126.064,149.606,0.0,0.0,4495.04,0.0,4644.646
FUTAMURA USA INC,KS,Chemicals,Toluene,YES,NO,NO,NO,70557.0,0.0,101.0,14744.0,70557.0,2041301.0,0.0,0.0,101.0,2126602.0
SEKISUI SPECIALTY CHEMICALS AMERICA LLC. - PASADENA PLANT,TX,Chemicals,Vinyl acetate,YES,YES,NO,NO,6023.0,0.0,250.0,250.0,6023.0,0.0,0.0,25908.0,250.0,32159.0
BASF CORP,SC,Chemicals,Propylene oxide,YES,YES,NO,NO,917.32,0.0,0.0,0.0,917.32,0.0,0.0,78045.0,0.0,78874.17
MILLER WASTE MILLS DBA RTP CO,MN,Chemicals,Antimony compounds,YES,NO,NO,NO,255.0,606.0,0.0,606.0,861.0,0.0,0.0,0.0,0.0,861.0
KING INDUSTRIES INC,CT,Chemicals,Zinc compounds,NO,NO,NO,NO,42.0,912.5,0.0,912.5,954.5,0.0,0.0,0.0,0.0,954.5
PIONEER AMERICAS LLC (DBA OLIN CHLOR ALKALI PRODUCTS),LA,Chemicals,Chlorine,YES,NO,NO,NO,38.94,0.0,0.0,0.0,38.94,0.0,0.0,6443255.0,0.0,6443293.94
GFP ETHANOL LLC DBA CALGREN RENEWABLE FUELS,CA,Chemicals,Formaldehyde,YES,YES,NO,NO,4665.96,0.0,0.0,0.0,4665.96,0.0,0.0,25588.61,0.0,30254.57
DENKA PERFORMANCE ELASTOMER LLC,LA,Chemicals,Certain glycol ethers,YES,NO,NO,NO,898.0,0.0,68.0,68.0,898.0,0.0,0.0,0.0,68.0,1517.0
ARLANXEO,TX,Chemicals,Chlorobenzene,YES,NO,NO,NO,7485.35,0.0,2001.3,7721.3,7485.35,0.0,0.0,17140.2,2001.3,32346.85
CHEMOURS DELISLE PLANT,MS,Chemicals,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,NO,NO,22724.0,0.0,0.0,0.0,22724.0,0.0,0.0,0.0,0.0,22724.0
CHEMOURS CHAMBERS WORKS,NJ,Chemicals,Sodium nitrite,NO,NO,NO,NO,983.88,0.0,6.0,6.0,983.88,0.0,0.0,451239.0,6.0,452228.88
ALDRICH CHEMICAL CO LLC,WI,Chemicals,"N,N-Dimethylformamide",YES,YES,NO,NO,0.071,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.071
HENKEL US OPERATIONS CORP,SC,Chemicals,Antimony compounds,YES,NO,NO,NO,1621.7,1651.23,0.0,1651.23,3272.93,0.0,0.0,0.0,0.0,3272.93
CHEMSTATION OF ALABAMA,AL,Chemicals,Peracetic acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
